19/03/10 11:39
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	17315	115260	    686279	    769539	  117	
未翻訳：        	13993	 79374	    481165	    540909	  117	
繰り返しを除いた：   	12148	 98950	    585602	    657703	  117	
繰り返しを除いた未翻訳：	10248	 68271	    412864	    464090	  117	


ファイルごとの翻訳状況：

ファイル名                                           	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
Mojo-Message-Response.txt                       	     90	    70	         69	            56	    497	   299	        443	           265	          2978	         1943	              2591	                 1692	          3300	         2146	              2884	                 1874	
Mojo-Message.txt                                	    214	   183	        158	           134	   1426	   998	       1262	           854	          8179	         5757	              7166	                 4880	          9240	         6550	              8118	                 5572	
Mojo-Parameters.txt                             	    125	   108	         89	            81	    668	   514	        544	           430	          4169	         3294	              3436	                 2799	          4581	         3610	              3766	                 3056	
Mojo-Path.txt                                   	    134	   119	         96	            89	    727	   623	        611	           531	          4185	         3617	              3515	                 3107	          4541	         3915	              3802	                 3346	
Mojo-Promise.txt                                	    166	   144	        100	            86	    928	   601	        752	           458	          5390	         3669	              4269	                 2753	          6096	         4132	              4823	                 3082	
Mojo-Reactor-EV.txt                             	     82	    70	         49	            44	    438	   343	        306	           231	          2506	         2001	              1719	                 1350	          2816	         2256	              1928	                 1512	
Mojo-Reactor-Poll.txt                           	     98	    87	         17	            14	    524	   439	        124	            82	          3055	         2596	               720	                  501	          3441	         2932	               803	                  561	
Mojo-Reactor.txt                                	    116	   104	         33	            28	    651	   533	        250	           152	          3662	         3005	              1390	                  869	          4200	         3473	              1625	                 1042	
Mojo-Server-CGI.txt                             	     38	    26	         26	            21	    179	    88	        151	            80	          1055	          518	               866	                  465	          1149	          568	               948	                  511	
Mojo-Server-Daemon.txt                          	    152	   132	        105	            95	    924	   682	        680	           526	          5798	         4367	              4345	                 3465	          6367	         4783	              4768	                 3783	
Mojo-Server-Hypnotoad.txt                       	    122	    88	         95	            70	   1124	   497	        979	           425	          6589	         2948	              5699	                 2498	          7417	         3331	              6433	                 2829	
Mojo-Server-Morbo-Backend-Poll.txt              	     23	    13	         12	             9	    137	    66	        113	            62	           870	          433	               701	                  400	           941	          477	               762	                  442	
Mojo-Server-Morbo-Backend.txt                   	     30	    19	         15	            11	    216	   128	        167	            99	          1311	          798	               986	                  609	          1451	          889	              1098	                  680	
Mojo-Server-Morbo.txt                           	     38	    19	         22	            12	    310	   105	        205	            73	          1854	          675	              1210	                  471	          2049	          740	              1343	                  516	
Mojo-Server-Prefork.txt                         	    151	   130	         76	            63	    947	   624	        753	           458	          5659	         3835	              4353	                 2721	          6369	         4324	              4940	                 3098	
Mojo-Server-PSGI.txt                            	     37	    23	         14	             8	    175	    81	        101	            35	          1059	          503	               578	                  214	          1148	          546	               634	                  235	
Mojo-Server.txt                                 	     69	    54	         45	            37	    365	   216	        304	           175	          2216	         1365	              1825	                 1110	          2435	         1499	              2014	                 1222	
Mojo-Template.txt                               	    254	   233	        215	           201	   1379	  1134	       1281	          1056	          8153	         6756	              7545	                 6284	          9405	         7837	              8725	                 7301	
Mojo-Transaction-HTTP.txt                       	     93	    77	         59	            50	    471	   304	        382	           235	          2861	         1865	              2314	                 1454	          3134	         2042	              2539	                 1591	
Mojo-Transaction-WebSocket.txt                  	    205	   184	        134	           124	    907	   696	        729	           592	          5640	         4356	              4539	                 3686	          6317	         4911	              5087	                 4157	
Mojo-Transaction.txt                            	    142	   120	         85	            74	    722	   500	        524	           376	          4383	         3102	              3154	                 2304	          4978	         3556	              3624	                 2678	
Mojo-Upload.txt                                 	     42	    30	         27	            22	    194	   116	        158	           100	          1162	          711	               929	                  614	          1284	          790	              1035	                  685	
Mojo-URL.txt                                    	    207	   182	        170	           153	   1182	   915	       1089	           846	          6991	         5573	              6356	                 5098	          7515	         5930	              6841	                 5426	
Mojo-UserAgent-CookieJar.txt                    	     67	    53	         51	            44	    329	   207	        295	           193	          1964	         1275	              1747	                 1194	          2177	         1418	              1943	                 1328	
